date,headline,realized_volatility
2022-07-02,"Meta announces restructuring, shares decline",1.1798
2022-07-03,"Federal Reserve raises rates, volatility expected",1.8938
2022-07-04,"Apple reports weak quarterly earnings, missing analyst expectations",1.1903
2022-07-05,Trading volume drops for Apple on regulatory approval,0.2358
2022-07-06,Consumer stocks plunges amid geopolitical tensions,0.4364
2022-07-07,Amazon stock surges 4% on earnings report,0.5507
2022-07-08,Energy stocks rallies amid geopolitical tensions,1.0929
2022-07-09,Meta stock climbs 12% on earnings report,0.6559
2022-07-10,Financial stocks plunges amid inflation concerns,2.7219
2022-07-11,"GDP rises, markets fall",0.446
2022-07-12,"Inflation disappoints, markets tumble",2.4731
2022-07-13,"Tesla reports disappointing quarterly earnings, exceeding analyst expectations",2.5163
2022-07-14,"Amazon reports strong quarterly earnings, meeting analyst expectations",0.2744
2022-07-15,"Meta announces restructuring, shares soar",13.72
2022-07-16,"Microsoft reports surprising quarterly earnings, exceeding analyst expectations",1.0028
2022-07-17,Trading volume doubles for Microsoft on product launch,1.9521
2022-07-18,Market volatility surges as supply chain issues,2.7922
2022-07-19,Market volatility surges as recession fears,1.3344
2022-07-20,Trading volume spikes for Nvidia on product launch,0.5342
2022-07-21,Microsoft stock surges 4% on earnings report,0.3593
2022-07-22,"Federal Reserve raises rates, uncertainty expected",1.157
2022-07-23,"Federal Reserve maintains policy, uncertainty expected",0.2855
2022-07-24,Trading volume drops for Nvidia on earnings report,0.9295
2022-07-25,Trading volume doubles for Nvidia on earnings report,0.7519
2022-07-26,"Google CEO announces strategy shift, stock price decline",5.5962
2022-07-27,Trading volume spikes for Amazon on earnings report,2.2311
2022-07-28,Trading volume spikes for Amazon on regulatory approval,0.9765
2022-07-29,Trading volume spikes for Tesla on merger news,1.3549
2022-07-30,Trading volume drops for Meta on earnings report,1.02
2022-07-31,"Tesla faces competition, analysts upgrade",0.9771
2022-08-01,"Inflation rises, markets soar",6.4989
2022-08-02,"Employment falls, markets jump",2.9781
2022-08-03,Market volatility rises as geopolitical tensions,1.4893
2022-08-04,Tech stocks rallies amid geopolitical tensions,6.563
2022-08-05,Market volatility surges as recession fears,4.1005
2022-08-06,"Meta faces competition, analysts maintain rating",1.1102
2022-08-07,"Tesla faces scandal, analysts upgrade",1.1296
2022-08-08,Trading volume doubles for Amazon on product launch,0.9944
2022-08-09,"Meta CEO resigns, stock price jump",1.1374
2022-08-10,"Amazon announces restructuring, shares rise",0.4361
2022-08-11,Market volatility increases as recession fears,2.7549
2022-08-12,"Amazon reports record quarterly earnings, meeting analyst expectations",14.1031
2022-08-13,"Federal Reserve raises rates, stability expected",1.1364
2022-08-14,Nvidia stock rallies 5% on regulatory approval,3.0464
2022-08-15,"Meta faces scandal, analysts maintain rating",0.638
2022-08-16,Amazon stock falls 14% on merger news,0.7301
2022-08-17,"Tesla CEO announces strategy shift, stock price rise",32.9009
2022-08-18,"Federal Reserve raises rates, uncertainty expected",3.4723
2022-08-19,"Nvidia reports weak quarterly earnings, missing analyst expectations",1.6245
2022-08-20,"Federal Reserve signals dovish stance, stability expected",1.0399
2022-08-21,"Apple faces regulatory scrutiny, analysts upgrade",2.5694
2022-08-22,"Federal Reserve cuts rates, volatility expected",3.9774
2022-08-23,"Nvidia CEO resigns, stock price decline",1.7461
2022-08-24,Market volatility increases as supply chain issues,2.4664
2022-08-25,Market volatility rises as recession fears,10.1126
2022-08-26,Energy stocks surges amid geopolitical tensions,4.1496
2022-08-27,"Employment disappoints, markets decline",1.1439
2022-08-28,"Apple faces regulatory scrutiny, analysts maintain rating",0.8025
2022-08-29,Financial stocks climbs amid inflation concerns,4.6981
2022-08-30,Microsoft stock surges 7% on merger news,5.8985
2022-08-31,"Amazon CEO appointed, stock price soar",3.1272
2022-09-01,Trading volume spikes for Amazon on regulatory approval,4.2344
2022-09-02,Market volatility spikes as inflation concerns,0.9818
2022-09-03,Trading volume drops for Tesla on product launch,0.9265
2022-09-04,"Federal Reserve signals dovish stance, growth expected",0.5121
2022-09-05,"Apple faces regulatory scrutiny, analysts upgrade",1.1093
2022-09-06,Nvidia stock surges 14% on regulatory approval,2.3554
2022-09-07,Consumer stocks falls amid geopolitical tensions,2.2469
2022-09-08,"Apple faces scandal, analysts upgrade",0.9238
2022-09-09,"Apple announces buyback program, shares tumble",5.1059
2022-09-10,Trading volume spikes for Meta on earnings report,4.2358
2022-09-11,"Federal Reserve maintains policy, growth expected",0.4827
2022-09-12,"Nvidia reports weak quarterly earnings, meeting analyst expectations",2.0041
2022-09-13,Market volatility surges as supply chain issues,3.7147
2022-09-14,"Tesla faces regulatory scrutiny, analysts downgrade",0.3216
2022-09-15,Tesla stock rallies 3% on merger news,0.233
2022-09-16,"Amazon CEO appointed, stock price tumble",2.4377
2022-09-17,Market volatility spikes as supply chain issues,15.1304
2022-09-18,Market volatility spikes as geopolitical tensions,3.3774
2022-09-19,"Federal Reserve signals dovish stance, volatility expected",8.2529
2022-09-20,"Meta announces restructuring, shares jump",6.7602
2022-09-21,"Inflation exceeds expectations, markets jump",1.5387
2022-09-22,"Amazon CEO appointed, stock price jump",6.3612
2022-09-23,"GDP exceeds expectations, markets fall",1.2375
2022-09-24,"Google faces scandal, analysts upgrade",3.7468
2022-09-25,Apple stock surges 1% on regulatory approval,5.8991
2022-09-26,"Amazon faces competition, analysts revise outlook",1.3346
